,Date,Headline,Content,ContentSentiment,ScoreContentSentiment
25,10/14/16,Dozens of U.S. Lawmakers Request Briefing on Yahoo Email Scanning,"A bipartisan group of 48 lawmakers in the U.S. House of Representatives on Friday asked the Obama administration to brief Congress ""as soon as possible"" about a 2015 Yahoo program to scan all of its users' incoming email at the behest of the...",negative,-0.532505
26,10/14/16,Yahoo Not to Hold Quarterly Earnings Call or Webcast,"Yahoo Inc said on Friday that it would not hold a call or webcast when it reports third-quarter results on Tuesday, citing its pending $4.83 billion deal with Verizon Communications Inc.",neutral,-0.532505
27,10/13/16,"Verizon Says Yahoo Hack 'Material,' Could Affect Deal","Verizon Communications Inc said on Thursday it has a ""reasonable basis"" to believe Yahoo Inc's massive data breach of email accounts represents a material impact that could allow Verizon to withdraw from its $4.83 billion deal to buy the technology...",negative,-0.689711
28,10/13/16,Verizon Says Yahoo Data Breach Had a 'Material' Impact,"Verizon's top lawyer says it now has reason to believe Yahoo's recently disclosed data breach has a ""material"" impact on Verizon's pending $4.8 billion acquisition of Yahoo. That leaves open the possibility that Verizon could seek a change in the...",negative,-0.563603
29,10/12/16,How to Bid Adieu to Yahoo,"When you decide its time to close your account and move on to another mail service, make sure you get all the files you need before you go.",neutral,-0.563603
30,10/11/16,Ruth Bader Ginsburg Calls Colin Kaepernicks National Anthem Protest Dumb,"But in a Yahoo News interview, the Supreme Court Justice said that protesting was still a right, like flag-burning.",positive,0.658918
31,10/11/16,Yahoo Says Working to Bring Back Auto Forwarding Feature,"Yahoo Inc said it is working to bring back its automatic email forwarding feature after a planned, temporary disablement.",negative,-0.605936
32,10/11/16,Civil Liberties Group Urges Verizon to Shore Up Yahoo User Protection,An international civil liberties group that has worked with web companies on human rights and surveillance issues is asking Verizon Communications Inc to examine a secret email scanning program run by its acquisition target Yahoo Inc and improve on...,neutral,-0.605936
33,10/10/16,Yahoo Disables Automatic Email Forwarding Feature: AP,"Yahoo Inc disabled automatic email forwarding at the beginning of the month, the Associated Press reported, citing several users.",negative,-0.375975
34,10/10/16,"Amid Breach Talk, Some Yahoo Users Finding It Hard to Exit","As Yahoo's embattled email service suffers through a slew of bad news, including a hack that compromised more than 500 million accounts , some users are finding it hard to leave.",negative,-0.90202
35,10/8/16,Farhads and Mikes Week in Tech: Samsungs Exploding Products and Twitters Fizzling Deal,"Mike calls Yahoos surveillance predicament a flaming garbage fire and hopes Alexa and her A.I. ilk are friendlier than HAL. Soon, Farhad will be in Asia.",negative,-0.764795
36,10/7/16,Yahoo Email Scan Report Raises Rights Concerns: U.N. Expert,"Serious human rights concerns have been raised by a Reuters report that Yahoo had scanned the emails of hundreds of millions of users at the request of a U.S. intelligence service, a United Nations' human rights advocate said on Friday.",negative,-0.342578
37,10/7/16,Lawsuit Claims Yahoo Job Reviews Discriminated Against Men,"A Yahoo Inc media executive fired from the internet company last year has filed a lawsuit claiming a job review process implemented by Chief Executive Marissa Mayer was used to cut men from executive ranks and lay them off illegally, court papers...",negative,-0.53355
38,10/7/16,U.S. Pressed to Disclose Secret Court's Order on Yahoo Email Search,"A U.S. senator and civil groups critical of surveillance practices on Friday called on the government to release a 2015 order by a secret court directing Yahoo to scan all its users' incoming email, saying it appeared to involve new interpretations...",negative,-0.402935
39,10/6/16,Verizon Pushes for $1 Billion Discount on Yahoo Deal: New York Post,"Verizon Communications is pressing for a $1 billion discount off its pending $4.8 billion agreement to buy Yahoo, the New York Post reported, citing sources.",negative,-0.403568
40,10/6/16,Daily Report: The Feds Cant Resist Silicon Valleys Data,"They also dont want anyone to talk about it, a fact that has riled a number of tech companies that are chafing under gag orders.",negative,-0.783319
41,10/5/16,Yahoo Said to Have Aided U.S. Email Surveillance by Adapting Spam Filter,"A system built to scan emails for spam, child pornography and malware allowed Yahoo to search for a terrorist organizations signature to satisfy a secret court order, several sources say.",negative,-0.519347
42,10/5/16,Yahoo Email Scanning Prompts European Ire,"Yahoo's decision to scan clients' email accounts at the behest of the U.S. authorities has prompted questions in Europe as to whether EU citizens' data had been compromised, and could help derail a new trans-Atlantic data sharing deal.",neutral,-0.519347
43,10/5/16,Reported Yahoo Email Scanning Revives Surveillance Concerns,Yahoo's reported willingness to search user email to assist U.S. government investigators has revived concerns about court-approved surveillance programs that companies aren't allowed to disclose to the people using their services.,neutral,-0.519347
44,10/5/16,Yahoo Email Scan Fell Under Foreign Spy Law-Sources,"A Yahoo operation in 2015 to scan the incoming email of its customers for specific information identified by the U.S. government was authorized under a foreign intelligence law, U.S. government officials familiar with the matter said.",neutral,-0.519347
45,10/4/16,Yahoo Adds New Social Features to Its Renamed Mobile App,"Yahoo has overhauled its main app for smartphones and tablets, adding more ""social"" features aimed at people who like to share and chat about their favorite topics online.",positive,0.802552
46,10/4/16,Exclusive: Yahoo Secretly Scanned Customer Emails for U.S. Intelligence-Sources,"Yahoo Inc last year secretly built a custom software program to search all of its customers' incoming emails for specific information provided by U.S. intelligence officials, according to people familiar with the matter.",neutral,0.802552
47,10/4/16,Report: Yahoo Gave US Intel Agencies Access to Email,"Yahoo scanned hundreds of millions of incoming emails at the behest of U.S. intelligence or law enforcement, according to a report published Tuesday.",neutral,0.802552
48,10/3/16,Still Waiting to Hear From Yahoo,The companys recent announcement of a large-scale security breach has many people asking questions.,negative,-0.412103
49,9/30/16,Yahoo Hack May Become Test Case for SEC Data Breach Disclosure Rules,Yahoo's disclosure that hackers stole user data from at least 500 million accounts in 2014 has highlighted shortcomings in U.S. rules on when cyber attacks must be revealed and their enforcement.,negative,-0.691421
50,9/28/16,Daily Report: Latest Hack Shows Yahoos Weak Security History,"The internets fun place had one of historys biggest hacks, one of a series of security problems at Yahoo in recent years.",negative,-0.688752
51,9/28/16,"Defending Against Hackers Took a Back Seat at Yahoo, Insiders Say","Clashes over costs and fears that security measures would chase away customers hobbled Yahoos efforts, leading to the 2014 breach of 500 million users.",negative,-0.768819
52,9/28/16,"U.S. Election, El Cajon, Yahoo: Your Thursday Briefing",Heres what you need to know to start your day.,neutral,-0.768819
53,9/28/16,Cyber Firm Challenges Yahoo Claim Hack Was State-Sponsored,"A cyber security company on Wednesday asserted that the hack of 500 million account credentials from Yahoo was the work of an Eastern European criminal gang, adding another layer of intrigue to a murky investigation into the unprecedented data...",negative,-0.842321
54,9/27/16,U.S. Senators Accuse Yahoo of 'Unacceptable' Delay in Hack Discovery,"Six U.S. senators on Tuesday demanded that Yahoo Inc explain why hackers' theft of user information for 500 million accounts two years ago came to light only last week and called the company's handling of the breach ""unacceptable.""",negative,-0.770944
55,9/26/16,AOL Chief on Yahoo Hacking,"On both sides, the contract has very good protections, said Tim Armstrong, deflecting questions about whether the hacking will impact Yahoos deal with Verizon.",positive,0.549983
56,9/26/16,U.S. Senator Seeks SEC Probe of Yahoo Disclosure on Hacking,Democratic Senator Mark Warner on Monday asked the U.S. Securities and Exchange Commission to investigate whether Yahoo and its senior executives fulfilled obligations to inform investors and the public about a hacking attack affecting 500 million...,neutral,0.549983
57,9/24/16,"Farhads and Pui-Wings Week in Tech: Yahoos Hacking, Self-Driving Cars and the Future of Twitter","In Mike Isaacs absence, Farhad Manjoo joins his boss, Pui-Wing Tam, for a discussion of the weeks technology news.",neutral,0.549983
58,9/23/16,"Daily Report: Breach Extends Yahoos Long, Steep Fall",Hackers stole the account information of at least 500 million Yahoo users in 2014 in the biggest known intrusion into one companys computer network.,negative,-0.791115
59,9/23/16,"Morning Agenda: Yahoos Hacking, Princeling Problem, Test for the Justice Dept.","Yahoo already had plenty of problems, but the theft of data on 500 million users has thrown another wrench in the works.",negative,-0.679482
60,9/23/16,How Yahoos Data Breach Could Affect Its Deal With Verizon,"Verizon could enact the deals material adverse change clause, or MAC clause, to try to drive down the price or terminate the sale entirely.",negative,-0.633599
61,9/23/16,What the Hacking at Yahoo Means for Verizon,"Questions swirl about whether Verizons $4.8 billion deal for Yahoos core business will be renegotiated, or happen at all.",negative,-0.361614
62,9/23/16,Hackers Trawl User Data in Hopes a Small Target Will Lead to a Big One,"By perusing personal accounts of people with even the thinnest thread of a connection to power, hackers can find their way to high-level government officials.",negative,-0.453505
63,9/23/16,"In Yahoo Breach, Hackers May Seek Intelligence, Not Riches","If a foreign government is behind the massive computer attack that compromised a half billion user accounts at Yahoo, as the company says, the breach could be part of a long-term strategy that's aimed at gathering intelligence rather than getting...",negative,-0.791213
64,9/23/16,Yahoo and Facebook Slip; Endo and AAR Gain Ground,Stocks that moved substantially or traded heavily Friday:,neutral,-0.791213
65,9/23/16,Yahoo Is Sued for Gross Negligence Over Huge Hacking,Yahoo Inc was sued on Friday by a user who accused it of gross negligence over a massive 2014 hacking in which information was stolen from at least 500 million accounts.,negative,-0.848243
66,9/23/16,Big Email Hack Doesn't Exactly Send the Message Yahoo Needed,Yahoo has been struggling for years to keep people coming back to its digital services such as email. That challenge just got more daunting after hackers stole sensitive information from at least 500 million accounts.,negative,-0.703752
67,9/23/16,Yahoo Faces Growing Scrutiny Over When It Learned of Data Breach,"Yahoo on Friday faced pointed questions about exactly when it knew about a cyber attack that exposed the email credentials of 500 million users, a critical issue for the company as it seeks to prevent the breach from affecting a pending takeover by...",negative,-0.770747
68,9/23/16,Some Yahoo Users Close Accounts Amid Fears Breach Could Have Ripple Effects,Many Yahoo users rushed on Friday to close their accounts and change passwords as experts warned that the fallout from one of the largest cyber breaches in history could spill beyond the internet company's services.,negative,-0.821601
69,9/22/16,Yahoo Says Hackers Stole Data on 500 Million Users in 2014,"The company said user information was stolen by what it believed was a state-sponsored actor, without naming the country.",negative,-0.378693
70,9/22/16,Beyond the Yahoo Hack: Other Major Data Breaches,"The Yahoo hack exposed personal details from at least 500 million user accounts, potentially the largest breach of an email provider in history. Despite the size of the break-in, attackers don't appear to have accessed obviously sensitive information...",negative,-0.741603
71,9/22/16,Yahoo Hack Steals Personal Info From at Least 500M Accounts,Computer hackers swiped personal information from at least 500 million Yahoo accounts in what is believed to be the biggest digital break-in at an email provider.,negative,-0.753936
72,9/22/16,Yahoo Says Hackers Stole Data From 500 Million Accounts in 2014,"Yahoo Inc said on Thursday that at least 500 million of its accounts were hacked in 2014 by what it believed was a state-sponsored actor, a theft that appeared to be the world's biggest known cyber breach by far.",negative,-0.805331
73,9/21/16,"Charlotte, Yahoo, U.S. Presidential Race: Your Thursday Evening Briefing",Heres what you need to know at the end of the day.,neutral,-0.805331
74,9/7/16,No Clear Logic in Verizons Digital Media Venture,Verizons acquisitions of Yahoo and AOL raise legitimate questions about the judgment of Verizons management.,neutral,-0.805331
75,9/3/16,"A Warrior Against Junk Mail at Yahoo Looks Out for Mom, Too",An anti-spam architect helps define the design and structure of Yahoos email system to root out spam without blocking any emails from your mother.,neutral,-0.805331
76,8/13/16,Champion of Human Rights in China Leaves a Tarnished Legacy,"Harry Wu, who spent 19 years in Chinese labor camps, secured a grant from Yahoo to aid families of persecuted dissidents, but very little of it went to them.",negative,-0.490092
77,8/8/16,Oil Traders Prepare Fond Farewells to Yahoo Messenger,"Oil traders on Friday were lamenting the imminent demise of their main communication tool, Yahoo Messenger, which has been an industry standard since the late 1990s.",neutral,-0.490092
78,8/5/16,Oil Traders Prepare Fond Farewells to Yahoo Messenger,"Oil traders on Friday were lamenting the imminent demise of their main communication tool, Yahoo Messenger, which has been an industry standard since the late 1990s.",neutral,-0.490092
79,8/1/16,Morning Agenda: Uber and Didi Chuxing Team Up in China,Oracle Has a Cloud Problem | Yahoo Sale Leaves Little Choice for Shareholders,negative,-0.780399
80,7/30/16,Yahoo and the Online Universe According to Verizon,"In amassing Yahoo, AOL and other online services, Verizon is preparing for the day when its most important clients are advertisers, not users.",neutral,-0.780399
81,7/30/16,Farhads and Mikes Week in Tech: The Cautionary Tale of the Fall of Yahoo,"Twitter, Facebook, Google and Amazon shared their second-quarter earnings reports, and Yahoo agreed to sell itself to Verizon for about $5 billion.",neutral,-0.780399
82,7/29/16,Yahoos Sale to Verizon Leaves Shareholders With Little Say,The internet giants decision to sell its business is plagued with challenges that reveal how unusual deal structures can affect shareholders.,negative,-0.544148
83,7/27/16,Twitter Might Want to Steal From Yahoos Playbook,"With Twitters ad demand lower than expected and user growth stalled, now would be a good time for Jack Dorsey to find a suitor for his company.",neutral,-0.544148
84,7/27/16,"Morning Agenda: Sex, Fear and Video Surveillance at World&#8217;s Largest Hedge Fund",Deutsche Bank Profits Take a Hit | Analog Devices Buys Linear Technology,neutral,-0.544148
85,7/26/16,Marissa Mayers Media Problem at Yahoo Is Now Verizons to Solve,"Before she led Yahoo, while still at Google, Ms. Mayer spoke of the difficulties for media companies of capitalizing on their own content.",neutral,-0.544148
86,7/26/16,What Goes Up Must Come Down: The End of Yahoo as We Know It,"The sale of Yahoos core web business to Verizon for $4.83 billion caps a long downward spiral for the onetime pioneer, which at its height was valued at $125 billion.",negative,-0.451795
87,7/26/16,Yahoo Is a Case Study in Poor Timing,The companys $4.8 billion sale to Verizon caps two decades of deals and non-deals that shaped internet history.,neutral,-0.451795
88,7/26/16,Morning Agenda: Both Parties Want to Rein In Big Banks,$40 Billion Leftovers for YahooFed Prepares Action Against Goldman Sachs,negative,-0.43157
89,7/26/16,"Verizon Posts Subscriber Gain Shortfall, Says Yahoo to Fuel Media Push","Verizon Communications Inc&#160; disappointed Wall Street on Tuesday by reporting a smaller-than-expected subscriber gain for its main wireless business, while its CEO gave few details about plans to increase revenue from its planned purchase of...",positive,0.497718
90,7/25/16,Why Yahoo Sold Itself,"Yahoo, the Internet portal giant, has been struggling for a decade to find a winning strategy against competitors in search, social media and video. Now it is poised to give up, selling itself to Verizon for a small fraction of what it was worth at...",positive,0.453807
91,7/25/16,Verizon Announces $4.8 Billion Deal for Yahoos Internet Business,"Verizon is buying an entity that has made repeated missteps, but one that could help it be a stronger contender for digital advertising revenue.",positive,0.75956
92,7/25/16,Marissa Mayer on Yahoos Future,"The chief executive of Yahoo said she is looking forward to working on the companys integration with Verizon and AOL. If she is terminated, she is due a severance package of about $57 million.",negative,-0.532598
93,7/25/16,"Yahoo, a Web Pioneer, Cleared the Way for Many Innovations",A fond send-off for a company that brought order to the fast-growing internet forest.,positive,0.761491
94,7/25/16,Verizon and Yahoo: Internet Also-Rans With Big Hopes,"The Verizon boss, Lowell McAdam, is betting the deal will help attract digital advertisers by meshing Yahoo with AOL, which Verizon bought last year.",positive,0.665009
95,7/25/16,"For Yahoo, Question Is What to Do With $40 Billion in Leftovers","After a sale of its core internet business to Verizon, Yahoo will still have stakes in Alibaba and Yahoo Japan, along with cash and a collection of patents.",positive,0.436912
96,7/25/16,Morning Agenda: Verizon Is to Buy Yahoo&#8217;s Core Business,Tesla Chief Sticks to His Mission | Panama Papers Reveal Use of Shell Companies by African Officials,neutral,0.436912
97,7/25/16,What Verizon's Acquisition Means for Yahoo Users,"If you have a Yahoo email account or regularly visit services like Yahoo Finance and Yahoo Sports, you might be wondering what will happen to the once-venerable brand once Verizon takes over.",neutral,0.436912
98,7/25/16,Glance: Marissa Mayer's Days at Yahoo,"Hopes for Marissa Mayer have been high ever since she came to Yahoo four years ago to take over as CEO. But the former Google executive's tenure has been rocky at the Sunnyvale, California company.",neutral,0.436912
99,7/25/16,"Verizon Could Boost Yahoo Ad Targeting, but Challenges Ahead",Verizon's deal for Yahoo could give the phone company a stronger foothold in digital advertising as it takes what it knows about its customers' whereabouts and combines that with Yahoo's popular destinations and AOL's advertising expertise.,positive,0.888266
100,7/25/16,Yahoo Mail and Tumblr and Flickr: What Happens Now?,Here are answers to some common questions about the impact Verizons purchase will have on the companys numerous services.,neutral,0.888266
101,7/25/16,Verizon Sale Leaves Yahoo Investors Betting on a Stub,"Yahoo Inc shareholders may be left betting on how quickly, if at all, the former web pioneer can cash in on its multi-billion dollar stakes in two Asian peers after Monday's deal to sell its core internet assets to Verizon Communications Inc.",positive,0.450066
102,7/25/16,"Seeking Wider Digital Audience, Verizon Buys Yahoo for $4.8B","Seeking a wider digital audience, Verizon is buying Yahoo for $4.83 billion in a deal that marks the end of an era for a company that defined much of the early internet but struggled to stay relevant in an online world dominated by Google and...",neutral,0.450066
103,7/24/16,Yahoos Sale to Verizon Ends an Era for a Web Pioneer,"Its the end of the line for Yahoo as an independent company, once valued at $125 billion.",neutral,0.450066
104,7/24/16,"Democratic Convention, Fort Myers, Yahoo: Your Monday Briefing",Heres what you need to know to start your day.,neutral,0.450066
105,7/24/16,Verizon to Announce $5 Billion Deal to Buy Yahoo on Monday: Source,"Verizon Communications Inc will announce an agreement on Monday to buy Yahoo Inc for about $5 billion, according to a person familiar with the matter.",neutral,0.450066
106,7/24/16,Verizon Said to Be Buyer of Yahoo for $5 Billion: Reports,"Verizon has agreed to buy online portal Yahoo Inc. for roughly $5 billion, according to multiple media reports, each citing a single unnamed source.",neutral,0.450066
107,7/24/16,"Democratic Convention, Verizon and Yahoo, Fort Myers: Your Monday Evening Briefing",Heres what you need to know at the end of the day.,neutral,0.450066
108,7/22/16,Verizon Is Said to Be Near a Deal to Acquire Yahoo,Verizon has long been considered a front-runner to buy Yahoos core internet businesses. An announcement could come as early as next week.,negative,-0.482708
109,7/20/16,Silicon Valley's Yahoo Diaspora Mourns Company's Decline,Former Yahoo executive Dan Rosensweig has not worked at the pioneering internet company in nearly a decade.,neutral,-0.482708
110,7/18/16,Yahoo Edges Toward Its Sale With a Limp,"As Yahoo accepted the final bids for its core business, it revealed just how badly that business was deteriorating: revenue fell 15 percent last quarter and profit dropped 64 percent.",negative,-0.863318
111,7/18/16,Reasons to Believe the A.I. Boom Is Real,"To determine why artificial intelligence is booming now, its helpful to look at the recent growth of search engines, social media and mobile technology.",positive,0.826779
112,7/18/16,Yahoo Reports Lackluster Results as Sale Looms,Yahoo Inc's (YHOO.O) quarterly earnings fell short of Wall Street expectations on Monday in what may be the company's last financial report before it sells its core business.,neutral,0.826779
113,7/18/16,"Yahoo Reports Another Big Loss, Writes Down Tumblr Value",Yahoo's latest earnings report leaves no doubt the internet company is stuck in a downward spiral.,negative,-0.475094
114,7/16/16,When Yahoo Ruled the Valley: Stories of the Original Surfers,"As Yahoo puts itself on the auction block, some of its first employees revisit their youth spent building a company that defined the early web.",positive,0.695018
115,7/15/16,"Character, Fate and Yahoo",Forget the years of lousy deals and seedy shenanigans: Yahoos real problem was a contradiction it couldnt resolve.,negative,-0.960754
116,7/15/16,Yahoos Failed Alibaba Spinoff May Benefit Other Deals,New I.R.S. rules proposed after the agency declined to bless the spinoff set limits for when certain spinoffs cannot not get tax-free treatment.,neutral,-0.960754
117,7/15/16,Morning Agenda: Yahoo Is Said to Collect Final Bids,Firms Offer to Help New Lawyers Pay Student Debt | Bayer Raises Bid for Monsanto,positive,0.644433
118,7/14/16,Yahoo Is Said to Collect Final Bids as Auction Nears Its End,"The bids, for Yahoos core internet operations, are said to be due on Monday, with the board prepared to make a decision soon after.",negative,-0.345372
119,6/30/16,Morning Agenda: Puerto Rico Relief Measure Clears Senate,Nearly All U.S. Banks Pass Fed Stress Test | Lionsgate Is Said to Be Near Deal to Buy Starz,negative,-0.324555
120,6/15/16,Internet Ruling Could Hit Verizon and AT&T's Yahoo Pursuit,A U.S. appeals court decision upholding government rules that would impose new restrictions on how internet providers collect user data could disadvantage Verizon Communications Inc and AT&amp;T Inc's pursuit of Yahoo Inc's digital assets and new ad...,negative,-0.474959
121,6/13/16,Quicken Founder and Warren Buffett Have Ties Beyond Yahoo Deal,The connection between Quicken Loans Inc founder Dan Gilbert and billionaire magnate Warren Buffett became evident last month with news that Buffett was backing Gilbert's surprise bid for Yahoo Inc.,neutral,-0.474959
122,6/13/16,Yahoo Mail Could Get Boost if Bought by Mobile Firm,Yahoo Inc's venerable email system could have a better shot at challenging category crusher Gmail if a telecommunications company wins a Yahoo asset auction and presents it to a wider audience.,positive,0.756605
123,6/9/16,AT&T Seeks to Top Verizon as Yahoo Reviews New Bids: Sources,"Yahoo Inc is set to put together a new shortlist of bidders for its core internet assets after several parties, including Verizon Communications Inc and AT&amp;T Inc, made second-round offers, people familiar with the matter said.",positive,0.772495
124,6/8/16,"Yahoo Puts More Than 3,000 Patents on Auction Block",Yahoo is hoping to auction off most of its technology patents as part of a purge that also could culminate in the sale of its internet operations.,positive,0.488437
125,6/7/16,"Yahoo Hires Investment Bank to Sell About 3,000 Patents: WSJ","Yahoo Inc has hired boutique investment bank Black Stone IP LLC to sell about 3,000 of the internet company's patents, the Wall Street Journal reported, citing people familiar with the matter.",neutral,0.488437
126,6/7/16,Morning Agenda: A Jump in Law Firm Salaries,National Amusements Alters Viacom Bylaws to Prevent Paramount Sale | Who Decides Fair Value?,negative,-0.503483
127,5/26/16,Exclusive: Verizon Turns to Former Yahoo Bankers for Bid-Sources,"Verizon Communications Inc is working on its bid for Yahoo Inc's core assets with an investment bank which was, as recently as last year, one of the U.S. internet company's top advisers, people familiar with the matter said.",neutral,-0.503483
128,5/26/16,Exclusive-Verizon Turns to Former Yahoo Bankers for Bid: Sources,"Verizon Communications Inc is working on its bid for Yahoo Inc's core assets with an investment bank which was, as recently as last year, one of the U.S. internet company's top advisers, people familiar with the matter said.",neutral,-0.503483
129,5/20/16,Morning Agenda: Push Continues on Insider Trading Cases Despite Limits on Prosecutors,Puerto Ricos Debt Crisis Addressed in Bipartisan Bill | Energy Transfer Delays Could Scuttle Merger with Williams,neutral,-0.503483
130,5/18/16,Leaks Abound as Yahoo Auction Gets Underway,"Leaks can work both ways for companies, though the conventional wisdom is that they hurt deals more than help.",negative,-0.821757
131,5/18/16,"House Lifts Block on Google-Hosted Apps, Yahoo Mail Remains Blacklisted","The U.S. House of Representatives' information technology team this week reinstated access on its internet network to software applications hosted on a Google cloud service after the company addressed potential security fears, according to an email...",neutral,-0.821757
132,5/16/16,Warren Buffett and Dan Gilbert Bid for Yahoo,The Oracle of Omaha and the owner of the Cleveland Cavaliers are unlikely bidders for the troubled Internet icon.,negative,-0.535098
133,5/16/16,Morning Agenda: Warren Buffett and Dan Gilbert in Bid to Buy Yahoo,Start-Ups Embrace Arbitration | Goldman Sachs is a Growing Player in Natural Gas,positive,0.531401
134,5/16/16,Can Buffett-Backed Bid Unlock Yahoo Growth Where Others Failed?,Warren Buffett struck media gold with a 2012 investment in debt-laden Media General Inc. Now the famed investor may try to reprise that success by supporting a bid for Yahoo Inc's Internet assets.,positive,0.444262
135,5/15/16,Warren Buffett and Dan Gilbert Unite in Bid to Acquire Yahoo,The unusual presence of Mr. Gilbert and Mr. Buffett in the bidding suggest just how far Yahoo and its advisers have cast their net to find potential buyers.,neutral,0.444262
